Address,opAirdropScore,TokenBalanceGIV,TokenBalanceOP,GRDonations,EthDeposits,OptimismBridges,OpTreasuryPayouts,IsOptimismDelegate,InteractedWithContracts,CreatedGnosisSafe,OwnsGnosisSafe,ExecutedGnosisTx,isPartOfOPTreasury,IsGitcoinProjectOwner,GitcoinPassportScore,RegenPOAPs,OptimismTxCount,TrustedSeedMember,GivethActivity,TotalScore
0x80fc5137886375e7e5c9fbaaf3f1bfcf86bce482,false,false,false,0,false,0,0,1,1,false,false,false,false,false,false,false,1,false,false,800
0xe93d59cc0bcecfd4ac204827ef67c5266079e2b5,false,false,1750.00,0,false,0,0,1,1,false,false,false,false,false,false,false,19,false,false,810
0x8ccde64d05a7677d80a5960cb75fb8de486cf98d,false,false,false,0,false,0,0,1,1,false,false,false,false,false,false,false,1,false,false,800
0x2b7839e74e8a9145e594810508006b3e856088f8,false,false,2.00,0,false,0,0,1,1,false,false,false,false,false,false,false,1,false,false,810
0xb1ea5a3e5ea7fa1834d48058ecda26d8c59e8251,false,false,false,0,false,0,3,1,1,false,false,false,false,false,false,false,192,false,false,1700
0xf4b0556b9b6f53e00a1fdd2b0478ce841991d8fa,false,false,786.82,0,false,0,2,1,1,false,1,1,false,false,false,false,75,false,false,2110
0x46abfe1c972fca43766d6ad70e1c1df72f4bb4d1,false,false,false,0,false,0,0,1,1,false,false,false,false,false,false,false,1,false,false,800
0x1b686ee8e31c5959d9f5bbd8122a58682788eead,false,false,false,0,false,1,0,1,1,false,false,false,false,false,false,false,15,false,false,1100
0x48a63097e1ac123b1f5a8bbffafa4afa8192fab0,false,false,35984.41,0,false,0,4,1,1,false,false,false,false,false,false,false,14,"1,125",false,1420
0x75536cf4f01c2bfa528f5c74ddc1232db3af3ee5,false,false,5058.08,0,false,2,5,1,1,false,false,false,false,false,false,false,42,false,false,1510
0x8f5415415d9200ccd8523f3ee88f96f476141cc3,false,false,5.29,0,false,0,0,1,1,false,false,false,false,false,false,false,17,false,false,810
0x8f07bc36ff569312fdc41f3867d80bbd2fe94b76,false,false,10513.24,0,false,0,3,1,1,false,false,false,false,false,false,1,50,false,false,1230
0x070341aa5ed571f0fb2c4a5641409b1a46b4961b,false,false,205.94,0,false,0,2,1,1,false,false,false,false,false,false,false,24,false,false,1210
0x3471884f189fd7c63fe8c83601d28ce0cc1b3853,false,false,494872.55,0,false,8,2,1,1,false,false,false,false,false,false,false,149,false,false,1510
0xd1c5980984bdbb0061b842fa81b3d38859850c39,false,false,1.00,0,false,1,0,1,1,false,false,false,false,false,false,false,13,false,false,1110
0x839395e20bbb182fa440d08f850e6c7a8f6f0780,false,8726466.46,22703.50,295,false,1,3,1,1,false,1,1,false,1,0.00,2,67,"150,048",1,3070
