ETH Addresses,TRUST Score On Chain,TRUST Score Off Chain
0xEFCDc3A4164846b7e39C4708a7C816f4459F26bF,"2,857",
0xd11256d99f8833beE0B99203DDcfe4cd6c823d8D,"2,250",
0x7221B104fba7701084759FD25FacA19Ac6300855,"6,597",
0xc91d300D342eC4EBbC61B3AE75dc5D7245109dD9,,"2,010"
0x9959ddA625ba12809849F9b0F44E660C0f136733,,"1,859"
0xA0A1A1736D98C835BD2608ABFE242bA7E65D2126,,"1,888"
0x072e83cdE5c102fDCF32BE328034E1bB2DADCB01,"5,986",
0x9Aa6Db877742aD8D8c7fE209F561fbd2bE19D5F4,,"1,850"
0xEFA21088F3830cD7d9f526eA268f7AabA34F785F,,"2,068"
0xDF00e071996dE3336899bBd5722592b3D972E788,,"1,783"
0xc154eB56388c8ce13492B3b149D451bb1B42AC5B,,"1,796"
0x9542225b26ae10B4c47625D75DA5123d838b30d8,,"1,781"
0x92b0fd2bd1991b2bdbb1306a719bd45dbfa46768,,"1,748"
0xb19DF2BCe7c036B69b20180413b58012Fa328e58,,"1,716"
0x5B93FF82faaF241c15997ea3975419DDDd8362c5,,"1,690"
0xED77A2406bb16f56a5Dc5CC6D893f6500585A115,,"1,684"
0x9e476f951Dc5aF8E4f7fD02C78f0CD765A25C8C0,,"1,629"
0x8041748a2A16e9B7A3980107f4376774421642c8,"7,490",
0x57F908C42F5a0e5DBBd3c35a137cC242cF89Add6,"1,125",
0x181e1ff49CAe7f7c419688FcB9e69aF2f93311da,"7,378",
0x6432c098bfedA15Dd4d0692C46bDB43091a95171,,"1,686"
0x38Dfd788DB4CFaB7b9Da57b06CfC06C6E0f33C3b,"20,916",
0x7fCFeb41316C67cA985C652e639367762D5E98dA,,"1,617"
0xc2fB4B3EA53E10c88D193E709A81C4dc7aEC902e,,"1,626"
0xF0dA4128a4ED2eD3fFE5d8618a6E002F338b8E52,,"1,577"
0xD5288ED50a195017E5B30595F65091a7767817a4,"6,993",
0x5832834966933beC942Bb06a3B55dd1176cbDDD2,,"1,565"
0xd6f5646D9E7FbeE7CC907EB8e12dAFA5378431E6,,"1,565"
0xae9A1Bbd8A53E6BD845D1b493CD174E6B0531eb8,,"1,554"
0x6fD155b9D52F80E8A73a8A2537268602978486e2,,"1,552"
0x63960487872023231e4C3fbdE536c34E2C93De55,,"1,545"
0xed8DB37778804A913670d9367aAf4F043AAd938b,,"1,676"
0xB81E88279F3208001AEdA20689d3E5d818758dbf,,"1,530"
0x52fA3cD7C8926CF515a454658A27d710CF447b2f,,"1,578"
0x1026eFFaE689c49F3655e74DC45C8869E3f6Fd35,,"1,504"
0xB1B7586656116D546033e3bAFF69BFcD6592225E,,"1,502"
0x00432996c5Cf8200CF208200613aec2329be0e39,,"1,500"
0xD70A0999e4AFcD794Ae01dD7194f34D60e5e21F4,,"1,483"
0x177a68f3C836a2a37a3c594CD16004d7B9589476,,"1,480"
0x884Ff907D5fB8BAe239B64AA8aD18bA3f8196038,,"1,471"
0xfE6B3Daf5DB93C8203316956844b3Ae23521a722,,"1,465"
0x7136fbDdD4DFfa2369A9283B6E90A040318011Ca,"2,250",
0x760C7B2403a9Ee72E704b35ADEcF94e3D42A9D4f,,"1,529"
0x12A63Bd7C98FC55C4402923991685303ca7B75A2,,"1,461"
0x3E7F054563682c42bd4907b88D0DC27557992576,"2,270",
0xdEe4fBF0b62febe20000826EaeB939E2Cc7876b4,,"1,425"
0xcaff17d5c7C349bE300E93cbAF56bc868ef75982,,"1,421"
0xD91ec22114897E5E68997F77a6182dE3Cb09ba9B,,"1,414"
0x8F942ECED007bD3976927B7958B50Df126FEeCb5,,"1,393"
0x41e235560175A75c49c2e11e0e7A452a81c35808,,"1,423"
0x3b0459C53FD6fC216FEa8817512990c886310386,,"1,388"
0xF35960302a07022aBa880DFFaEC2Fdd64d5BF1c1,,"1,382"
0x33dCb3ec1918b6913C00954d8F40bFc04a5CFd20,,"1,375"
0x4ae70EfbC57Df5F16FC5fA2CcF016887E6312AfB,"2,250",
0xe621A0B2D4f837Fa2a4d15059dae91EA8D9aa9AC,,"1,374"
0xd0Cdc872439164D46785bb73Eeae91d29f1dae8d,"3,169",
0x22851c0AB295397AC5d41aF8899dEbf69C641680,"1,521",
0xd0ef3a2Ae7Fb496C0897400f1be46693B6183B0a,"1,494",
0x778bc2ea28243a59663B6dE926e5f6a0Cd7B2ac9,"1,912",
0x33878e070db7f70D2953Fe0278Cd32aDf8104572,"2,319",
0x9Ef53569800e203C20200256CF134abc675bC8e1,,"1,466"
0x0E76602324bD961E3E928b4BD5DC578b9883dF11,,"1,387"
0x933Fe343746549ac10D471cE4DfA20bAab3EdE86,,"1,330"
0xbcaE3F1Ab2Ac4A82D199720BE78c5a32bb144e8b,,"1,329"
0xEa5F027482561b25CA3E5a5498cBD1E979932774,"1,581",
0x5303D37018b0e7e6F4fe8C706b7001735e5d430A,"4,134",
0xaE7f11378dABA3757e9D7691be04285938bE35B5,"1,125",
0x865c2F85C9fEa1C6Ac7F53de07554D68cB92eD88,,"1,326"
0xca4aD39F872E89Ef23eABd5716363Fc22513E147,,"1,324"
0x1D8a08c8C3Ce0A852Cb4Da902754991759F7F625,,"1,322"
0xAcC89b21449b6CBB5101D5267F730C25E02E2409,,"1,299"
0x7e75c3Fbe3Aa9007d9E93eb948e02329b8b35dfE,,"1,284"
0x66D9dfddC3AD45d6383D5B9e9354F60Bc9D16A8e,"4,514",
0x22270a0b82CBF0bd80C6E0FaD85342600518e114,,"1,288"
0x76eFa04a76D4662EE3544ac40bbEcBE0Cd196Ad4,,"1,250"
0x1bAeC9d58603F6eAeDdBD66AcC56Db76215FC8D6,,"1,250"
0xcf9Bb70b2f1aCCb846e8B0C665a1Ab5D5D35cA05,,"1,250"
0x40498A25cc21c3412caD6566a19B31019143a02E,"2,250",
0xEba266c4D218172f884074Df3892F3D800c197e0,"1,452",
0xcdAEb3bCE9Df386b574F2AeFB06b9a2a156835b4,,"1,280"
0x16B942C119D3e34ff8f801cf68EC6aA26F1dC494,"2,628",
0x9885a84930E3C8c865A1D3dEBDC204F990BaB7C3,"3,586",
0xDcdf8164AAF9345E48E747e95B07d2782D09Cb40,,"1,217"
0x6466386897a82cB8c96C8680631dA7489f154004,,"1,213"
0xedb892BBd19188cD2dEf63249d6a657Ac6F98935,,"1,211"
0x784FF72C420e3da4ACCb078A79156615f53E4af0,,"1,210"
0x3eEd07fC683037565E54408a6800c9C3a6f70c45,,"1,203"
0x0668d077Ed4dBD45b3523E4DfFC07197b75519E3,,"1,200"
0xcEAcC735C67217101ABD0FFB46661C42deC366a8,,"1,194"
0x90299EC59b94398a3a31a795Bc585F743d0e5Cc9,,"1,224"
0xFBC56Be13C23c18B6864D062e413da3c7e0f74Fb,"3,159",
0x47B2c37fFee6e8d71EF9dFbe84eE596571885492,,"1,184"
0x22483Eeb5322608E4E99484F6CA661a6EF09D461,,"1,183"
0x21c9aba2392dD5e15CE74BF9C8685aC4907B5Fab,"2,642",
0xB6DaCFC9e6443F2546E9285BA4AE6359cDc20727,,"1,175"
